route_id,distance_km,travel_time_min,traffic_level,road_condition,pothole_level,road_damage_level,road_blockage_level,weather_condition,accident_risk,pedestrian_density,vehicle_density,road_width,lighting_condition,historical_risk,route_risk_score
route-0001,15.887,37.468,0,2,2,1,2,0,0.7407,0.5454,0.0217,3.35,2,0.0937,0.482358
route-0002,14.128,38.862,2,2,3,1,1,0,0.6981,0.3403,0.9173,13.53,0,0.3366,0.539401
route-0003,20.569,55.023,2,1,0,3,1,0,0.2932,0.6286,1.0,6.98,2,0.1923,0.538129
route-0004,18.894,61.631,0,0,0,3,2,2,0.3702,0.2095,-0.0559,13.3,0,0.648,0.394499
route-0005,17.905,49.468,0,1,3,2,2,1,0.3243,0.7683,-0.1066,12.04,2,0.805,0.508313
route-0006,22.046,118.574,2,2,2,1,1,3,0.2649,0.2466,1.0,5.89,0,0.5846,0.678447
route-0007,6.435,18.812,0,2,3,0,0,1,0.16,0.6805,0.0231,7.23,2,0.5959,0.336228
route-0008,13.948,41.864,0,2,0,2,1,0,0.4348,0.4537,0.1089,12.63,1,0.2634,0.332734
route-0009,22.034,76.055,2,1,1,1,0,0,0.3242,0.0195,1.0,12.67,2,0.8317,0.448673
route-0010,21.255,87.453,0,0,3,0,2,1,0.6598,0.9468,-0.0804,8.8,0,0.6066,0.506598
route-0011,18.493,78.706,2,0,2,3,2,2,0.8996,0.4515,0.9395,3.7,1,0.021,0.702751
route-0012,1.662,8.855,2,2,0,1,0,2,0.5142,0.2785,0.9965,8.93,0,0.7234,0.404433
route-0013,6.967,15.994,1,1,1,0,1,2,0.4111,0.8638,0.393,10.19,1,0.6462,0.387227
route-0014,19.513,60.896,0,0,1,1,0,3,0.2785,0.2498,0.1016,7.87,0,0.8613,0.325994
route-0015,23.984,88.365,0,0,1,1,1,1,0.9024,0.1646,-0.1195,7.29,1,0.9265,0.411386
route-0016,17.173,93.574,2,2,3,1,0,0,0.7357,0.061,0.9553,3.55,2,0.4768,0.624555
route-0017,2.78,10.609,2,0,1,0,2,1,0.1199,0.8903,0.9391,9.54,1,0.6194,0.387101
route-0018,13.263,65.585,1,0,2,1,0,2,0.3162,0.7519,0.3974,8.04,1,0.9985,0.41929
route-0019,6.296,22.804,1,0,2,0,1,2,0.4382,0.5432,0.4526,13.82,0,0.8071,0.363955
route-0020,13.979,57.281,2,0,1,2,0,1,0.2818,0.2106,0.9623,10.56,1,0.8529,0.431034
route-0021,21.934,45.37,0,0,3,2,1,1,0.9798,0.1616,-0.014,10.76,2,0.5609,0.502329
route-0022,17.048,45.326,0,2,0,2,0,3,0.0418,0.3647,0.1039,13.69,0,0.0399,0.361454
route-0023,16.506,72.559,1,2,3,1,0,1,0.8814,0.0248,0.5568,6.65,0,0.9308,0.574418
route-0024,19.742,43.255,1,0,0,3,1,1,0.8166,0.4603,0.4532,11.75,0,0.2276,0.415736
route-0025,8.886,18.307,0,1,2,3,2,2,0.1153,0.9704,-0.0771,13.59,0,0.2655,0.443968
route-0026,17.892,75.597,1,1,0,3,0,2,0.7088,0.0017,0.6021,8.92,0,0.7194,0.493337
route-0027,9.695,27.234,0,2,2,2,0,2,0.3093,0.4084,-0.0234,6.25,2,0.1273,0.432379
route-0028,16.74,57.276,0,2,2,3,0,2,0.2102,0.7858,0.0256,6.54,1,0.4418,0.506711
route-0029,19.359,48.934,2,0,0,2,2,2,0.8184,0.7511,1.0,5.47,0,0.1991,0.55229
route-0030,12.191,25.062,0,1,3,1,1,3,0.244,0.6561,-0.1187,11.26,1,0.77,0.442837
route-0031,5.457,29.237,2,2,3,0,0,3,0.8014,0.6676,1.0,9.55,0,0.95,0.583897
route-0032,17.684,57.1,2,1,3,1,1,3,0.7518,0.8399,0.9466,11.55,1,0.4846,0.670248
route-0033,17.555,54.46,0,1,2,2,0,1,0.2313,0.6939,0.0495,3.71,0,0.4076,0.395637
route-0034,6.154,23.585,1,1,0,3,1,2,0.8534,0.9534,0.4806,11.22,1,0.5461,0.462897
route-0035,6.437,20.855,1,1,0,3,2,3,0.165,0.4674,0.4106,9.84,2,0.027,0.471926
route-0036,2.11,10.895,2,1,1,3,1,3,0.2117,0.3268,1.0,7.17,1,0.752,0.517295
route-0037,3.343,11.389,0,2,0,2,0,0,0.9496,0.1994,-0.1151,4.68,0,0.1262,0.265999
route-0038,6.404,35.705,2,1,2,1,2,0,0.9647,0.1081,0.8862,6.43,0,0.6773,0.522392
route-0039,17.588,46.062,0,2,1,0,1,0,0.7826,0.3472,-0.0172,7.08,2,0.506,0.396825
route-0040,20.002,58.32,0,1,2,3,1,1,0.5217,0.6505,0.0278,13.12,2,0.7746,0.530055
route-0041,14.831,40.41,1,0,0,2,0,3,0.6103,0.379,0.3869,12.36,2,0.1818,0.40373
route-0042,9.158,37.09,2,2,2,0,0,0,0.7201,0.4886,1.0,10.6,0,0.6459,0.47221
route-0043,3.594,8.806,0,1,1,2,1,3,0.5309,0.4255,0.059,6.64,2,0.7029,0.385091
route-0044,4.215,9.551,0,1,0,1,2,3,0.7246,0.9766,0.0059,6.11,1,0.1005,0.363253
route-0045,5.537,13.745,0,2,1,2,0,2,0.9441,0.6379,0.0607,4.13,2,0.0123,0.403354
route-0046,9.166,18.373,0,1,3,0,1,3,0.577,0.6865,-0.0836,11.92,0,0.9491,0.403772
route-0047,14.057,67.58,1,2,1,3,1,2,0.99,0.3054,0.529,9.71,2,0.7401,0.613898
route-0048,6.248,21.061,2,0,1,1,0,1,0.4085,0.6894,0.9928,3.36,0,0.2881,0.383861
route-0049,3.102,9.821,0,1,1,3,0,1,0.8266,0.0714,-0.0802,6.38,1,0.749,0.319233
