route_id,distance_km,travel_time_min,traffic_level,road_condition,pothole_level,road_damage_level,road_blockage_level,weather_condition,accident_risk,pedestrian_density,vehicle_density,road_width,lighting_condition,historical_risk,route_risk_score
route-0733,6.239,16.568,1,2,1,1,1,0,0.4163,0.1503,0.3961,13.75,1,0.3118,0.357954
route-0375,7.2,31.138,1,2,0,3,1,3,0.9034,0.7699,0.4576,4.78,2,0.074,0.553593
route-0574,4.954,14.356,1,1,0,1,0,0,0.5484,0.066,0.5336,6.99,2,0.3335,0.280044
route-0491,8.795,32.457,1,0,0,1,2,1,0.5086,0.5044,0.6078,5.96,1,0.3183,0.346914
route-0648,16.848,54.053,1,1,2,1,1,3,0.9903,0.4212,0.4098,4.88,0,0.3269,0.562611
route-0532,4.954,23.107,1,0,1,0,2,1,0.6967,0.8365,0.5748,10.05,1,0.7164,0.372662
route-0359,13.989,65.497,1,0,2,3,0,3,0.4943,0.6602,0.4017,11.99,1,0.8873,0.54027
route-0650,7.68,24.445,1,1,0,2,0,3,0.6965,0.4546,0.5837,13.64,1,0.1214,0.397311
route-0451,12.589,36.757,1,1,1,0,2,3,0.2604,0.3133,0.6148,8.49,0,0.9734,0.454778
route-0774,17.538,72.515,0,1,1,2,0,1,0.4612,0.245,0.0248,13.89,2,0.7968,0.388201
route-0496,16.045,62.642,0,2,3,0,2,1,0.5558,0.6965,-0.0026,7.32,1,0.0811,0.513765
route-0645,9.914,37.158,2,0,3,1,2,2,0.4098,0.6039,1.0,13.45,2,0.5305,0.557539
route-0789,13.618,46.472,0,0,0,1,2,2,0.7664,0.4719,0.0443,13.2,1,0.2103,0.34204
route-0338,7.127,39.541,2,2,1,0,2,3,0.3629,0.5238,0.9722,11.7,2,0.5117,0.559421
route-0025,8.886,18.307,0,1,2,3,2,2,0.1153,0.9704,-0.0771,13.59,0,0.2655,0.443968
route-0792,7.67,34.237,2,0,1,2,1,0,0.4275,0.3824,1.0,11.13,1,0.7975,0.425438
route-0178,3.094,11.22,1,0,0,0,1,1,0.7735,0.7532,0.412,13.92,1,0.1429,0.228835
route-0379,9.002,35.965,1,1,0,0,1,0,0.7605,0.29,0.4287,9.1,1,0.9675,0.317423
route-0341,7.006,19.156,2,1,1,0,0,2,0.1454,0.0324,1.0,9.64,0,0.3311,0.323704
route-0106,4.554,15.977,0,1,1,3,2,2,0.3474,0.0649,0.0101,12.8,2,0.8514,0.437955
route-0399,20.165,97.461,1,2,2,3,2,0,0.8919,0.4579,0.3992,12.88,0,0.2884,0.636248
route-0089,4.883,18.319,0,2,1,2,2,3,0.595,0.938,-0.0457,7.14,0,0.7917,0.502228
route-0616,9.048,28.667,0,1,1,0,2,0,0.1877,0.2017,0.103,5.64,1,0.085,0.248529
route-0422,20.746,57.29,0,0,3,2,2,3,0.1052,0.4381,0.0381,3.94,2,0.1434,0.539909
route-0201,10.24,23.058,0,0,1,2,2,2,0.0282,0.7006,0.1074,9.2,2,0.5631,0.399731
route-0202,21.337,94.05,1,2,2,1,0,0,0.6017,0.0199,0.4947,6.65,0,0.6141,0.490754
route-0490,5.284,13.57,0,0,2,0,1,1,0.6145,0.3253,-0.1135,3.64,0,0.3899,0.252208
route-0232,17.5,42.115,0,1,2,0,0,0,0.8361,0.0482,-0.0922,7.89,2,0.1236,0.317443
route-0240,9.112,40.535,2,2,0,3,0,3,0.6637,0.6414,0.9157,12.09,1,0.8921,0.556089
route-0377,11.436,36.937,1,0,0,0,2,2,0.0188,0.4977,0.5367,3.01,1,0.0378,0.318347
route-0065,19.244,57.815,0,2,2,1,1,2,0.4155,0.2008,0.0688,12.64,2,0.3659,0.464348
route-0735,14.651,36.376,1,1,3,2,2,1,0.5926,0.103,0.4319,4.96,0,0.5637,0.558822
route-0731,9.953,27.904,0,0,0,1,0,0,0.4952,0.6262,0.0059,4.54,1,0.8742,0.186322
route-0230,1.593,7.684,2,0,1,2,0,3,0.5887,0.167,1.0,6.28,2,0.2908,0.434302
route-0545,10.159,38.93,2,0,1,3,2,2,0.7091,0.635,0.9684,3.63,2,0.3853,0.597686
route-0613,1.797,4.348,0,0,0,0,0,1,0.3964,0.4236,0.1076,8.0,0,0.7114,0.123803
route-0511,5.874,14.792,2,1,0,0,1,1,0.8854,0.7188,0.9616,9.1,0,0.1785,0.403232
route-0237,17.994,44.972,1,1,1,0,1,2,0.6899,0.4782,0.4812,12.75,1,0.1668,0.440624
route-0632,9.895,50.253,2,2,1,3,2,3,0.2832,0.6204,1.0,12.43,2,0.9954,0.67796
route-0680,14.651,63.14,1,0,0,0,0,1,0.6653,0.4994,0.543,6.56,0,0.2315,0.320662
route-0222,9.346,36.985,1,0,3,2,2,3,0.1023,0.5115,0.539,12.28,2,0.3742,0.54435
route-0445,16.107,43.203,0,2,3,2,2,1,0.1735,0.593,-0.0414,6.1,1,0.0844,0.518571
route-0500,4.367,11.43,2,0,2,1,0,2,0.5601,0.4539,1.0,10.05,2,0.9431,0.462045
route-0732,4.146,15.904,1,2,2,2,1,1,0.2902,0.685,0.5727,13.47,0,0.3713,0.447893
route-0330,15.574,60.275,0,1,1,1,1,2,0.5422,0.2068,-0.0867,8.95,1,0.8001,0.393554
route-0281,7.42,15.985,1,0,0,3,1,2,0.9635,0.0575,0.5657,4.93,2,0.4944,0.448221
route-0303,11.745,25.219,1,1,3,1,0,0,0.0221,0.9723,0.4477,4.38,2,0.4384,0.389325
route-0192,14.567,68.977,2,0,3,0,0,3,0.9642,0.2368,0.9426,6.47,2,0.8008,0.594131
route-0402,5.364,14.162,1,0,3,2,0,1,0.2844,0.9562,0.5285,4.77,1,0.5353,0.394277
route-0317,22.338,61.483,1,1,3,3,0,0,0.5958,0.5176,0.6184,6.32,1,0.3003,0.576341
route-0079,18.172,39.495,0,0,1,3,1,1,0.3116,0.3244,0.1059,9.56,1,0.8833,0.401161
route-0213,2.281,8.825,2,2,1,0,1,1,0.9722,0.8085,0.9103,7.66,0,0.9883,0.504666
route-0675,23.611,71.486,0,2,2,3,2,0,0.1462,0.0217,-0.086,11.19,1,0.2407,0.524409
route-0384,16.764,53.169,1,0,1,2,0,0,0.1734,0.0632,0.4457,11.33,2,0.1681,0.308891
route-0737,2.674,11.102,2,1,3,3,2,0,0.5601,0.3773,0.9725,8.22,0,0.3118,0.566488
route-0392,5.352,26.459,1,0,2,1,2,1,0.9701,0.855,0.4008,12.43,2,0.4892,0.468391
route-0657,13.882,37.11,1,1,1,1,1,2,0.4413,0.3698,0.3918,7.21,0,0.928,0.424934
route-0751,9.102,27.225,2,1,2,0,0,0,0.4259,0.2694,1.0,9.52,1,0.164,0.366036
route-0302,20.14,42.856,0,1,0,3,2,2,0.6485,0.5319,-0.0555,5.07,1,0.0685,0.459482
route-0151,23.741,107.257,2,0,2,0,0,0,0.6052,0.6139,1.0,13.66,1,0.3264,0.494088
route-0539,11.484,31.086,1,0,2,2,0,3,0.8127,0.7506,0.435,11.06,2,0.3427,0.457964
route-0037,3.343,11.389,0,2,0,2,0,0,0.9496,0.1994,-0.1151,4.68,0,0.1262,0.265999
route-0603,20.686,43.345,0,0,1,3,1,1,0.3318,0.1545,-0.1066,10.61,1,0.6275,0.393109
route-0186,14.475,51.79,0,1,3,2,2,1,0.1573,0.7733,0.0946,10.42,1,0.1153,0.465359
