objectPrior,confidence,proximity,relativeSpeed,userSpeed,objectPersistence,trafficDensity,hazardFrequency,lowVisibility,weatherRisk,roadOrReports,riskLabel
0.3001,0.8101,0.1455,0.2664,0.3420,0.2273,0.2282,0.1665,0.1955,0.2134,0.2254,MEDIUM
0.9674,0.9540,0.9641,0.8575,0.7790,0.9559,0.8472,0.7762,0.6625,0.7015,0.9065,CRITICAL
0.8973,0.9020,0.9501,0.7672,0.8177,0.9745,0.7552,0.9176,0.6931,0.6945,0.8286,CRITICAL
0.8795,1.0000,0.9313,0.7876,0.7979,0.8991,0.9080,0.8845,0.8162,0.5252,0.8929,CRITICAL
0.6299,0.8803,0.6665,0.5335,0.5692,0.5818,0.7335,0.5873,0.5271,0.3642,0.5062,HIGH
0.5823,0.9990,0.5409,0.5673,0.5707,0.7446,0.5579,0.5388,0.5300,0.5220,0.5239,HIGH
0.1785,0.6311,0.1046,0.0134,0.1242,0.0928,0.0798,0.1578,0.0000,0.0438,0.1173,LOW
0.1291,0.7318,0.1023,0.0605,0.1678,0.1210,0.0000,0.0291,0.0436,0.0357,0.0000,LOW
0.2708,0.8562,0.2853,0.2126,0.2769,0.2965,0.1927,0.2576,0.2690,0.0971,0.2538,MEDIUM
0.4004,0.9278,0.2737,0.3083,0.3073,0.3163,0.2742,0.1494,0.2109,0.1121,0.3473,MEDIUM
0.9573,0.9892,0.8922,0.7595,0.9383,0.9454,0.9835,0.8070,0.6673,0.6572,0.8437,CRITICAL
0.7432,0.8638,0.6417,0.6382,0.5590,0.6728,0.6749,0.5281,0.5825,0.4619,0.5842,HIGH
0.5638,0.8699,0.7246,0.4795,0.7376,0.7801,0.6115,0.5069,0.4415,0.4375,0.5951,HIGH
0.1022,0.7813,0.0628,0.0270,0.0744,0.1499,0.0307,0.0854,0.0893,0.0368,0.0000,LOW
0.2618,0.8173,0.3507,0.2681,0.3415,0.2814,0.3348,0.2604,0.1644,0.1518,0.2506,MEDIUM
0.1137,0.7773,0.0805,0.0298,0.0094,0.0933,0.0611,0.0755,0.0752,0.0104,0.0426,LOW
0.3412,0.7834,0.2323,0.3698,0.3547,0.2899,0.3190,0.3114,0.1796,0.1106,0.2743,MEDIUM
0.5073,0.7824,0.2296,0.2580,0.3559,0.4510,0.3470,0.2926,0.3168,0.2329,0.2399,MEDIUM
0.1356,0.6470,0.0738,0.0524,0.1880,0.0237,0.0298,0.0000,0.0367,0.0413,0.0487,LOW
0.6522,0.8185,0.6080,0.4583,0.5274,0.6594,0.6760,0.5976,0.5694,0.4243,0.6791,HIGH
0.7563,0.8866,0.6418,0.5440,0.5791,0.7187,0.7216,0.5729,0.5395,0.4350,0.6693,HIGH
0.3339,0.7364,0.3304,0.1890,0.3426,0.2787,0.3399,0.2564,0.2673,0.2191,0.3176,MEDIUM
0.9693,1.0000,0.8940,0.8130,0.8425,0.8732,0.8462,0.9072,0.7563,0.6634,0.8912,CRITICAL
0.2338,0.7703,0.3177,0.3041,0.1907,0.3261,0.2644,0.2471,0.1611,0.0945,0.2352,MEDIUM
0.0816,0.8022,0.1660,0.0885,0.0000,0.0950,0.0462,0.0599,0.0143,0.0000,0.0945,LOW
0.6832,0.7502,0.6680,0.5150,0.6722,0.6071,0.6603,0.5870,0.3918,0.3842,0.5514,HIGH
0.3637,0.8155,0.2991,0.2735,0.4013,0.3105,0.2886,0.2278,0.2682,0.1412,0.2788,MEDIUM
